hex_index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
88ad360001fffff,3.0,3.0,4.0,3.0,1.0,4.0,4.0,0.0,10.0,3.0,6.0,4.0,4.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,3.0,4.0,7.0,9.0,2.0,6.0,6.0,2.0,5.0,0.0,2.0,9.0,4.0,4.0,7.0,7.0,2.0,2.0,1.0,0.0
88ad360003fffff,0.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0
88ad360005fffff,8.0,8.0,7.0,8.0,11.0,14.0,8.0,9.0,11.0,4.0,11.0,13.0,13.0,10.0,4.0,3.0,5.0,8.0,8.0,10.0,4.0,10.0,4.0,14.0,8.0,12.0,19.0,14.0,10.0,31.0,17.0,14.0,17.0,12.0,12.0,7.0,13.0,8.0,14.0,9.0,9.0,16.0,10.0,15.0,26.0,14.0,28.0,10.0,9.0,10.0,15.0,13.0,2.0
88ad360007fffff,9.0,11.0,16.0,11.0,16.0,8.0,6.0,11.0,9.0,6.0,12.0,9.0,12.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,8.0,4.0,7.0,8.0,4.0,2.0,4.0,7.0,9.0,13.0,3.0,18.0,9.0,9.0,10.0,7.0,6.0,9.0,6.0,18.0,11.0,3.0,2.0,11.0,6.0,5.0,13.0,5.0,7.0,12.0,3.0,6.0
88ad36000bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad36000dfffff,9.0,1.0,4.0,6.0,4.0,2.0,5.0,3.0,5.0,0.0,4.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,5.0,1.0,3.0,13.0,4.0,3.0,2.0,2.0,1.0,1.0
88ad360015fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad360021fffff,4.0,11.0,17.0,12.0,8.0,18.0,9.0,9.0,43.0,22.0,15.0,8.0,5.0,7.0,3.0,1.0,4.0,3.0,8.0,3.0,6.0,5.0,12.0,9.0,9.0,12.0,10.0,8.0,8.0,6.0,7.0,7.0,14.0,8.0,9.0,11.0,10.0,10.0,6.0,5.0,14.0,6.0,8.0,11.0,13.0,16.0,24.0,5.0,11.0,13.0,4.0,20.0,2.0
88ad360023fffff,7.0,20.0,21.0,18.0,16.0,19.0,27.0,9.0,23.0,19.0,23.0,14.0,13.0,5.0,5.0,3.0,4.0,4.0,5.0,8.0,10.0,9.0,11.0,7.0,15.0,9.0,16.0,20.0,17.0,17.0,13.0,7.0,7.0,4.0,9.0,12.0,19.0,20.0,15.0,6.0,11.0,15.0,13.0,8.0,11.0,9.0,12.0,9.0,9.0,8.0,13.0,5.0,4.0
88ad360025fffff,20.0,15.0,21.0,23.0,23.0,17.0,23.0,16.0,36.0,45.0,26.0,24.0,17.0,13.0,11.0,11.0,4.0,12.0,15.0,8.0,10.0,11.0,11.0,12.0,17.0,8.0,12.0,16.0,5.0,5.0,14.0,12.0,15.0,11.0,16.0,7.0,17.0,21.0,13.0,14.0,21.0,19.0,15.0,17.0,29.0,16.0,13.0,13.0,15.0,17.0,11.0,15.0,3.0
